Solver;Use case;Sym breaking;#offers;#vars;#constraints;time
Z3;Wordpress9;FVLX;250;180;5072;167.58898401260376
Z3;Wordpress9;FVLX;500;180;9572;253.92995500564575
Z3;Wordpress10;FVLX;20;200;1035;5.4097630977630615
Z3;Wordpress10;FVLX;40;200;1435;26.244882106781006
Z3;Wordpress10;FVLX;250;200;5635;170.94526195526123
Z3;Wordpress10;FVLX;500;200;10635;476.4920048713684
Z3;Wordpress11;FVLX;20;220;1138;5.969303131103516
Z3;Wordpress11;FVLX;40;220;1578;41.90626406669617
Z3;Wordpress11;FVLX;250;220;6198;239.72021794319153
Z3;Wordpress11;FVLX;500;220;11698;671.2501142024994
Z3;Wordpress12;FVLX;20;230;1191;7.142574787139893
Z3;Wordpress12;FVLX;40;230;1651;33.03193497657776
Z3;Wordpress12;FVLX;250;230;6481;245.5895128250122
Z3;Wordpress12;FVLX;500;230;12231;623.7164361476898
